country,network_type,flipped_dimension,file_name,number_of_edges,total_triangles,imbalanced_triangles,ratio_imbalanced,edge_weight_sum
FR,one_variable_flipped,anti_climate_change_taxes,FR_anti_climate_change_taxes_flipped.graphml,101,168,55,0.327381,8.227069
FR,one_variable_flipped,anti_economic_interventionism,FR_anti_economic_interventionism_flipped.graphml,97,158,39,0.246835,8.023036
FR,one_variable_flipped,anti_egalitarianism,FR_anti_egalitarianism_flipped.graphml,100,162,52,0.320988,8.143912
FR,one_variable_flipped,anti_immigration,FR_anti_immigration_flipped.graphml,104,193,49,0.253886,8.011338
FR,one_variable_flipped,anti_lgbt,FR_anti_lgbt_flipped.graphml,107,205,69,0.336585,8.831367
FR,one_variable_flipped,anti_libertarianism,FR_anti_libertarianism_flipped.graphml,100,161,52,0.322981,8.142425
FR,one_variable_flipped,anti_social_benefits_low_income,FR_anti_social_benefits_low_income_flipped.graphml,99,154,41,0.266234,8.036269
FR,one_variable_flipped,anti_social_benefits_parents,FR_anti_social_benefits_parents_flipped.graphml,92,131,38,0.290076,8.058717
FR,one_variable_flipped,authoritarianism,FR_authoritarianism_flipped.graphml,96,145,40,0.275862,8.065053
FR,one_variable_flipped,benefits_harm_economy,FR_benefits_harm_economy_flipped.graphml,92,129,31,0.240310,7.791478
FR,one_variable_flipped,benefits_harm_society,FR_benefits_harm_society_flipped.graphml,102,173,51,0.294798,8.250858
FR,one_variable_flipped,climate_skepticism,FR_climate_skepticism_flipped.graphml,101,172,48,0.279070,8.037981
FR,one_variable_flipped,educational_spending,FR_educational_spending_flipped.graphml,92,132,37,0.280303,7.940996
FR,one_variable_flipped,euroscepticism,FR_euroscepticism_flipped.graphml,106,209,66,0.315789,8.462341
FR,one_variable_flipped,gender_inequality,FR_gender_inequality_flipped.graphml,96,139,44,0.316547,7.942252
FR,one_variable_flipped,left_right_identification,FR_left_right_identification_flipped.graphml,94,147,39,0.265306,7.942918
FR,one_variable_flipped,welfare_chauvinism,FR_welfare_chauvinism_flipped.graphml,99,163,43,0.263804,8.039610
FR,original,,FR.graphml,98,159,39,0.245283,8.015022
GB,one_variable_flipped,anti_basic_income,GB_anti_basic_income_flipped.graphml,113,245,81,0.330612,8.803215
GB,one_variable_flipped,anti_climate_ban_appliances,GB_anti_climate_ban_appliances_flipped.graphml,112,236,70,0.296610,8.714539
GB,one_variable_flipped,anti_climate_change_renewables,GB_anti_climate_change_renewables_flipped.graphml,96,148,42,0.283784,7.923435
GB,one_variable_flipped,anti_climate_change_taxes,GB_anti_climate_change_taxes_flipped.graphml,101,175,49,0.280000,8.158765
GB,one_variable_flipped,anti_economic_interventionism,GB_anti_economic_interventionism_flipped.graphml,93,134,31,0.231343,7.882542
GB,one_variable_flipped,anti_egalitarianism,GB_anti_egalitarianism_flipped.graphml,96,150,39,0.260000,7.921142
GB,one_variable_flipped,anti_immigration,GB_anti_immigration_flipped.graphml,98,160,49,0.306250,8.278231
GB,one_variable_flipped,anti_lgbt,GB_anti_lgbt_flipped.graphml,101,177,47,0.265537,7.978868
GB,one_variable_flipped,anti_libertarianism,GB_anti_libertarianism_flipped.graphml,103,178,52,0.292135,8.202533
GB,one_variable_flipped,anti_social_benefits_low_income,GB_anti_social_benefits_low_income_flipped.graphml,99,165,39,0.236364,8.106123
GB,one_variable_flipped,anti_social_benefits_parents,GB_anti_social_benefits_parents_flipped.graphml,101,175,44,0.251429,8.300276
GB,one_variable_flipped,authoritarianism,GB_authoritarianism_flipped.graphml,101,170,41,0.241176,7.902295
