country,network_type,flipped_dimension,file_name,number_of_edges,total_triangles,imbalanced_triangles,ratio_imbalanced,edge_weight_sum
GB,one_variable_flipped,benefits_harm_economy,GB_benefits_harm_economy_flipped.graphml,98,166,37,0.222892,8.116678
GB,one_variable_flipped,benefits_harm_society,GB_benefits_harm_society_flipped.graphml,107,214,77,0.359813,8.808045
GB,one_variable_flipped,climate_skepticism,GB_climate_skepticism_flipped.graphml,99,159,27,0.169811,8.005405
GB,one_variable_flipped,educational_spending,GB_educational_spending_flipped.graphml,113,255,86,0.337255,8.459495
GB,one_variable_flipped,euroscepticism,GB_euroscepticism_flipped.graphml,108,215,66,0.306977,8.155148
GB,one_variable_flipped,gender_inequality,GB_gender_inequality_flipped.graphml,99,153,41,0.267974,8.049663
GB,one_variable_flipped,left_right_identification,GB_left_right_identification_flipped.graphml,102,173,47,0.271676,8.064127
GB,one_variable_flipped,welfare_chauvinism,GB_welfare_chauvinism_flipped.graphml,102,180,50,0.277778,7.990358
GB,original,,GB.graphml,92,131,31,0.236641,7.979958
HU,one_variable_flipped,anti_basic_income,HU_anti_basic_income_flipped.graphml,98,167,68,0.407186,8.952441
HU,one_variable_flipped,anti_climate_ban_appliances,HU_anti_climate_ban_appliances_flipped.graphml,105,210,99,0.471429,9.297121
HU,one_variable_flipped,anti_climate_change_renewables,HU_anti_climate_change_renewables_flipped.graphml,94,144,62,0.430556,8.602265
HU,one_variable_flipped,anti_climate_change_taxes,HU_anti_climate_change_taxes_flipped.graphml,104,197,100,0.507614,9.610601
HU,one_variable_flipped,anti_economic_interventionism,HU_anti_economic_interventionism_flipped.graphml,97,156,69,0.442308,9.185976
HU,one_variable_flipped,anti_egalitarianism,HU_anti_egalitarianism_flipped.graphml,104,204,96,0.470588,9.618676
HU,one_variable_flipped,anti_immigration,HU_anti_immigration_flipped.graphml,97,153,62,0.405229,8.465274
HU,one_variable_flipped,anti_lgbt,HU_anti_lgbt_flipped.graphml,99,171,79,0.461988,9.002652
HU,one_variable_flipped,anti_libertarianism,HU_anti_libertarianism_flipped.graphml,87,97,39,0.402062,8.128254
HU,one_variable_flipped,anti_social_benefits_low_income,HU_anti_social_benefits_low_income_flipped.graphml,103,192,82,0.427083,9.216874
HU,one_variable_flipped,anti_social_benefits_parents,HU_anti_social_benefits_parents_flipped.graphml,95,146,66,0.452055,8.570499
HU,one_variable_flipped,authoritarianism,HU_authoritarianism_flipped.graphml,104,210,100,0.476190,9.571448
HU,one_variable_flipped,benefits_harm_economy,HU_benefits_harm_economy_flipped.graphml,103,192,82,0.427083,9.496520
HU,one_variable_flipped,benefits_harm_society,HU_benefits_harm_society_flipped.graphml,100,174,73,0.419540,9.613628
HU,one_variable_flipped,climate_skepticism,HU_climate_skepticism_flipped.graphml,98,169,74,0.437870,9.085638
HU,one_variable_flipped,educational_spending,HU_educational_spending_flipped.graphml,90,123,60,0.487805,8.441481
HU,one_variable_flipped,euroscepticism,HU_euroscepticism_flipped.graphml,111,238,112,0.470588,9.420905
HU,one_variable_flipped,gender_inequality,HU_gender_inequality_flipped.graphml,94,141,59,0.418440,8.524240
HU,one_variable_flipped,left_right_identification,HU_left_right_identification_flipped.graphml,100,171,76,0.444444,9.168818
HU,one_variable_flipped,welfare_chauvinism,HU_welfare_chauvinism_flipped.graphml,105,207,93,0.449275,9.569383
HU,original,,HU.graphml,97,157,66,0.420382,8.834582
IE,one_variable_flipped,anti_basic_income,IE_anti_basic_income_flipped.graphml,107,190,77,0.405263,8.647381
IE,one_variable_flipped,anti_climate_ban_appliances,IE_anti_climate_ban_appliances_flipped.graphml,108,213,92,0.431925,8.477685
IE,one_variable_flipped,anti_climate_change_renewables,IE_anti_climate_change_renewables_flipped.graphml,106,199,88,0.442211,8.454855
IE,one_variable_flipped,anti_climate_change_taxes,IE_anti_climate_change_taxes_flipped.graphml,107,197,85,0.431472,8.477133
IE,one_variable_flipped,anti_economic_interventionism,IE_anti_economic_interventionism_flipped.graphml,110,228,107,0.469298,8.941253
IE,one_variable_flipped,anti_egalitarianism,IE_anti_egalitarianism_flipped.graphml,102,175,75,0.428571,8.809541
IE,one_variable_flipped,anti_immigration,IE_anti_immigration_flipped.graphml,109,212,90,0.424528,8.583270
IE,one_variable_flipped,anti_lgbt,IE_anti_lgbt_flipped.graphml,102,168,70,0.416667,8.429617
IE,one_variable_flipped,anti_libertarianism,IE_anti_libertarianism_flipped.graphml,111,243,111,0.456790,8.657267
